요리명,재료(계량 포함),재료,레시피,관련 질환,질환별 추천 식재료
담양식떡갈비&야채쌈,"우육(분쇄육) 60g, 돈육(분쇄육) 30g, 두부 30g, 양파 5g, 대파 5g, 상추 30g, 깻잎 10g, 해바라기씨 2g, 간장 0.5g, 설탕 5g, 쌈장 5g","상추, 해바라기씨, 설탕, 우육, 쌈장, 두부, 돈육, 깻잎, 간장, 양파, 대파","1. 분쇄 우육과 돈육은 해동 후 핏물을 제거한다.2. 두부는 끓는 물에 데쳐낸 후 으깬다.3. 우육, 돈육, 다진양파, 다진대파, 으깬 두부(15g)에 간장과 설탕으로 간을 한 후 여러번 치댄다.4. 점성이 생긴 고기를 동그랗게 성형한 후 팬에 구워낸다.5. 쌈장에 으깬 두부(15g)와 해바라기 씨를 넣어 섞는다.6. 떡갈비와 양념장, 야채쌈을 함께 제공한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
들깨 삼계면,"삼계탕용 닭(250g), 우유(500㎖), 삼계탕 티백(70g), 메밀면(100g), 깻잎(5장), 바질(5장), 삼계탕 육수(100㎖), 사과식초(30g), 홍고추(2개), 사과(½개), 삼계탕 육수(30㎖), 들깻가루(20g), 소금(2g)","사과, 메밀면, 삼계탕용 닭, 소금, 들깻가루, 삼계탕 티백, 바질, 우유, 사과식초, 깻잎, 삼계탕 육수, 홍고추","1. 닭은 우유에 담가 20분간 재운다.2. 냄비에 물(1.5L)과 닭, 삼계탕 티백, 소금을 넣어 30분간 삶아 건진 뒤 살을 발라 한입 크기로 찢는다.3. 끓는 삼계탕 육수(800㎖)에 메밀면을 4분간 삶아 건져 얼음에 비벼 식힌 뒤 돌돌 말아준다.4. 끓는 물(500㎖)에 깻잎을 넣어 1분간 살짝 데쳐 건진 뒤 펼쳐 찢은 닭고기, 들깨소스, 바질을 얹어 돌돌 말아준다.5. 믹서에 국물 재료를 넣어 간 뒤 체에 거른다.6. 그릇에 메밀면과 깻잎말이를 담은 뒤 국물을 부어 마무리한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
완두콩 스프,"양파다진것 10g, 샐러리다진것 5g, 베이컨 13g, 완두콩 80g, 육수 120g, 생크림 2g, 소금 적당량, 후추 적당량","베이컨, 소금, 생크림, 후추, 완두콩, 양파다진것, 육수, 샐러리다진것","1. 양파와 셀러리는 다지고, 베이컨은 적당한 크기로 자른다.2. 팬에 베이컨을 넣고 볶다가 양파, 셀러리를 넣고 색이 나지 않게 볶는다.3. 야채가 볶아지면 완두콩을 넣고 충분히 볶아준다.4. 완두콩이 반 정도 익으면 육수를 넣고 푹 끓여준다.5. 완두콩이 다 익으면 믹서에 간 뒤 체에 걸러낸다.6. 5를 냄비에 옮기고 기호에 맞게 소금, 후춧가루, 생크림을 넣는다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
유부 만두찜,"유부 10g, 미나리 10g, 두부 20g, 닭가슴살 15g, 양파채썬것 15g, 당근채썬것 10g, 건표고버섯 5g, 시금치 10g, 소금적당량, 흰 후춧가루 적당량, 깨소금 1g, 참기름 1g [초간장] 멸치 육수 3g, 간장 2g, 식초 2g, 설탕 1g","설탕, 유부, 미나리, 두부, 소금, 닭가슴살, 시금치, 당근채썬것, 참기름1g멸치육수, 건표고버섯, 깨소금, 흰 후춧가루, 양파채썬것, 간장, 식초","1. 유부는 윗면을 살짝 잘라 내고 입을 벌려 주머니를 만든 뒤 끓는 물에 데쳐 냉수에 헹구고 미나리는 잎을 떼고 데쳐 냉수에 헹군다.2. 두부는 면보에 물기를 짠 뒤 곱게 으깨고 닭고기는 껍질을 제거하여 곱게 다진다.3. 양파와 당근, 불린 표고버섯은 곱게 채썰고 시금치는 끓는 물에 데쳐 물기를 짜고 2cm 길이로 썬다.4. 볼에 2, 3을 담고 소금, 흰 후춧가루, 깨소금과 참기름을 넣고 양념하여 만두소를 만든다.5. 준비한 유부주머니에 만두소를 넣고 미나리로 묶어 김 오른 찜통에 10분 정도 찐다.6. 초간장을 곁들여 낸다.",간염,바지락 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 닭고기 밥 떡 감자 고구마 과일 채소 닭가슴살 살코기 꽁치 동태 생선 계란 두부 콩
펜네 파스타 샐러드,"펜넬파스타 40g, 청피망 10g, 홍피망 10g, 양파 10g, 완두콩 5g, 블랙올리브 2g, 아스파라거스 2g, 토마토콩카세 15g, 파마산치즈 4g, 소금적당량 [바질 페스토] 잣 2g, 올리브오일 2g, 바질 3g, 믹서에 갈아줌","파마산치즈, 블랙올리브, 올리브오일, 펜넬파스타, 완두콩, 토마토콩카세, 바질, 홍피망, 양파, 아스파라거스, 믹서에 갈아줌, 청피망, 소금적당량잣","1. 펜네 파스타를 끓는 소금물에 기름을 약간 넣고 10분정도 삶아 체에 밭쳐 물기를 뺀다.2. 청피망, 홍피망, 양파는 펜네 파스타 길이로 썰고, 완두콩은 끓는 물에 데쳐서 찬물에 헹군 뒤 물기를 뺀다.3. 아스파라거스도 펜네 파스타 길이로 썰어 끓는 소금물에 데쳐 찬물에 식힌 뒤 물기를 뺀다.4. 블랙올리브를 링 형태로 썬다.5. 볼에 1과 바질 페스토, 소금을 넣고 섞는다.6. 5와 나머지 야채들을 같이 섞어 접시에 담는다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
해산물 옥수수 오븐구이,"달걀 30g, 새우 5g, 바지락 3g, 도미살 5g, 슬라이스 햄 3g, 실파 2g, 토마토 10g, 애호박 25g, 캔 옥수수 20g, 슬라이스 치즈 8g, 홍고추 1g, 바질 1g, 올리브오일 1g, 마늘다진것 1g, 소금적당량, 후춧가루 적당량","실파, 바지락, 후춧가루, 마늘다진것, 애호박, 달걀, 슬라이스햄, 슬라이스치즈, 새우, 올리브오일, 소금, 토마토, 도미살, 바질, 캔옥수수, 홍고추","1. 새우는 껍질과 내장을 제거하고 바지락은 살짝 데쳐 입이 열리면 살을 발라낸다.2. 해산물은 0.5cm 크기로 썰고 실파는 송송 썬다.3. 토마토는 껍질을 벗겨 햄과 비슷한 크기로 썰고 바질은 굵게 채썬다.4. 팬에 올리브오일은 두르고 햄, 옥수수를 넣어 볶다가 풀어둔 달걀을 넣고 스크램블을 만든다.5. 4가 반 정도 익었을 때 해산물, 토마토, 바질을 넣고 홍고추로 장식하고 다 익으면 오븐용 용기에 담는다.6. 5에 치즈를 0.5cm 넓이로 잘라 격자로 올리고 오븐에서 굽는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
향향 볶음밥,"감자 10g, 오이 10g, 목이버섯 5g, 닭고기 15g, 닭 육수 10g, 밥 50g, 파 9g, 식물성기름 1g, 소금적당량","파, 오이, 밥, 감자, 식물성기름, 소금, 목이버섯, 닭고기, 닭육수","1. 닭고기를 깍둑썰기한다.2. 감자, 오이는 깍둑썰기 하고 목이버섯은 물에 불린다.3. 기름을 두른 팬에 1을 넣고 볶다가 닭 육수를 넣는다.4. 닭고기가 익으면 감자, 목이버섯을 넣고 끓인 뒤 건진다.5. 깨끗한 팬에 기름을 두르고 밥과 송송 썬 파를 넣고 볶는다.6. 5에 오이와 익힌 닭고기, 목이버섯, 소금을 넣어 볶는다.",간염,바지락 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 닭고기 밥 떡 감자 고구마 과일 채소 닭가슴살 살코기 꽁치 동태 생선 계란 두부 콩
곶감 샐러드,"곶감 40g, 호두살 5g, 배 40g, 사과 25g, 밤 10g, 잣 1g [유자청 소스] 유자청 10g, 레몬즙 5, 꿀 5g, 플레인 요구르트 10g","꿀, 사과, 곶감, 레몬즙, 플레인요구르트, 호두살, 배, 잣1g유자청, 밤","1. 곶감 씨를 빼고 가위로 자른 다음 밀대로 밀어 편다.2. 1에 호두를 넣고 말아 랩으로 싸서 냉동실에 보관한 뒤 0.5cm 두께로 썬다.3. 사과와 배를 깨끗하게 씻어 껍질을 벗긴 뒤 1.5cm 주사위모양으로 썰어 설탕물에 담근다.4. 밤은 속껍질을 벗긴 후 편으로 썰어 설탕물에 담근다.5. 유자청, 레몬즙, 꿀, 플레인 요구르트를 섞어 소스를 만든다.6. 사과, 배, 밤의 물기를 제거하여 그릇에 담고 잣과 2를 올린 후 소스를 뿌린다.7. 사과, 배, 밤의 물기를 제거하여 그릇에 담고 잣과 곶감 쌈을 올린 후 소스를 뿌린다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
과일 요구르트 샐러드,"멜론 30g, 사과 30g, 바나나 20g, 오렌지 30g, 플레인 요구르트 30g, 레몬주스 5g, 오렌지주스 5g","사과, 오렌지, 플레인요구르트, 레몬주스, 멜론, 오렌지주스, 바나나","1. 메론의 껍질을 벗기고 2cm 정도의 주사위모양으로 썬다.2. 사과는 껍질을 벗기고 메론과 같은 크기로 썬다.3. 바나나도 껍질을 벗기고 같은 크기로 썬다.4. 오렌지는 칼로 껍질을 도려내고 속살만 자른다.5. 플레인 요구르트와 레몬주스, 오렌지주스를 섞어 드레싱을 만든다.6. 볼에 과일을 한데 섞고 드래싱으로 버무려 완성한다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
단호박 스프,"버터 2g, 마늘 1g, 양파 10g, 샐러리 5g, 생강 1g, 닭육수 100g, 단호박 50g, 고구마 15g, 우유 10g, 라임주스 1g, 생크림 5g, 소금적당량, 후추적당량","샐러리, 우유, 라임주스, 소금, 생크림, 후추, 닭육수, 단호박, 버터, 양파, 생강, 고구마, 마늘","1. 냄비에 버터를 녹인 후 마늘, 양파, 셀러리, 생강을 넣고 볶는다.2. 양파와 셀러리가 부드러워지면 닭육수를 넣는다.3. 2에 단호박, 고구마를 넣고 단호박이 부드러워질 때까지 약한불로 끓인다.4. 단호박이 다 익으면 믹서에 부드러운 상태가 되도록 간다.5. 4를 다시 냄비에 넣고 중간불로 끓인다.6. 5에 우유, 라임주스, 소금, 후추, 크림을 넣어 마무리한다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
배추 맑은국,"배추 35g, 연두부 20g, 홍고추챗건것 2g, 대파채썬것 3g, 쇠고기양지 15g, 다시마 2g, 물 70g, 국간장 1g, 마늘다진것 2g, 소금적당량, 후춧가루 적당량","연두부, 물, 마늘다진것, 후춧가루, 쇠고기양지, 소금, 국간장, 다시마, 배추, 대파채썬것, 홍고추챗건것","1. 연배추는 3cm 폭으로 자르고 연두부는 1.5cm 주사위모양으로 썰고 홍고추는 채썰고 대파는 어슷하게 썬다.2. 소고기는 찬 물에 담궈 핏물을 뺀 뒤 얇게 썰고 다시마는 1cm 간격으로 가위집을 넣는다.3. 냄비에 소고기와 다시마를 넣고 물을 부어 끓인다.4. 국물이 끓어 오르면 다시마를 건져내고 중간불로 줄인 뒤 소고기 국물이 구수하게 우러나면 면보에 거른다.5. 4의 육수에 연배추를 넣어 끓이다가 배추가 부드럽게 익으면 국 간장과 다진 마늘, 소금, 후춧가루로 간한다.6. 5에 연두부와 홍고추, 대파를 넣고 한소끔 더 끓인다.7. 6에 연두부와 홍고추, 대파를 넣고 한소끔 더 끓인다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
새우 완자탕,"새우 살 40g, 달걀흰자 5g, 전분 4g, 당면불린것 10g, 팽이버섯 10g, 부추 5g, 홍고추 3g, 다시마육수 70g, 국간장 1g, 마늘다진것 2g, 소금적당량, 흰 후춧가루 적당량","새우살, 마늘다진것, 부추, 팽이버섯, 소금, 국간장, 달걀흰자, 흰 후춧가루, 다시마육수, 당면불린것, 전분, 홍고추","1. 곱게 다진 새우살에 소금, 흰 후춧가루로 밑간한다.2. 1에 달걀흰자, 전분을 넣어 치댄후 지름 2cm 정도의 완자를 만든다.3. 불린 당면, 팽이버섯, 부추는 5cm 길이로 자르고 홍고추는 2cm 길이로 채썬다.4. 냄비에 다시마 육수를 넣어 끓으면 2의 완자를 넣고 불을 줄인다.5. 완자가 떠오르면 불린 당면, 팽이버섯, 부추, 홍고추 순으로 넣는다.6. 다진마늘, 국간장, 소금으로 간한다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
생강향의 고구마 크로켓,"고구마 60g, 생강 2g, 생크림 3g, 버터 2g, 꿀 2g, 밀가루 3g, 달걀물 5g, 빵가루 3g, 튀김기름 8g, 소금적당량, 후추적당량","꿀, 달걀물, 밀가루, 빵가루, 튀김기름, 소금, 생크림, 후추, 버터, 생강, 고구마","1. 고구마를 삶아 껍질을 제거하고 오븐에 넣어 수분을 제거한다.2. 생강을 편으로 썰어 생크림과 섞어 생강향이 우러나도록 살짝 끓인 후 체에 거른다.3. 볼에 1을 넣고 으깬다.4. 3에 2를 넣고 골고루 섞어준다.5. 버터, 꿀, 소금, 후추를 넣어 맛을 내고 원하는 모양으로 빚는다.6. 5에 밀가루, 달걀물, 빵가루 순으로 묻혀 180℃ 기름에 튀긴다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
야채 과일 돌구이,"단호박 30g, 고구마 30g, 오렌지 30g, 소금적당량","고구마, 단호박, 소금, 오렌지","1. 냄비 전체에 작은 돌을 깔고 돌이 뜨거워질 때까지 불에 올려놓는다.2. 단호박, 고구마, 오렌지를 0.5cm 두께로 자른다.3. 2의 표면에 소금을 살짝 뿌린다.4. 뜨거워진 돌 위에 3을 올린다.5. 뚜껑을 닫고 약한 불에서 속이 익을 때 까지 굽는다.6. 소금, 된장소스, 참깨소스 등 취향에 맞는 소스를 골라 찍어 먹는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
야채볶음,"감자 20g, 양송이버섯 15g, 당근 15g, 건목이버섯 5g, 산마 10g, 참기름 1g, 물전분 6g, 육수 6g, 식용유 2g, 소금적당량","건목이버섯, 양송이버섯, 참기름, 감자, 산마, 소금, 당근, 육수, 물전분, 식용유","1. 당근과 감자를 2cm 주사위모양으로 자르고 버섯은 4등분한다.2. 산마를 끓는 물에 데친다.3. 기름을 두른 팬을 가열한 후 당근, 감자, 데친 마를 넣고 볶은 뒤 육수를 넣는다4. 육수가 끓으면 양송이버섯과 목이버섯을 넣고 소금으로 간한다.5. 물 전분을 넣어 농도를 맞춘다.6. 참기름을 넣어 향을 낸다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
야채빵,"밀가루 30g, 베이킹파우더 1g, 버터 2g, 달걀 12g, 설탕 5g, 당근 10g, 양파 10g, 캔옥수수 10g, 완두콩 10g, 우유 10g, 소금적당량","설탕, 베이킹파우더, 밀가루, 달걀, 소금, 당근, 완두콩, 버터, 양파, 우유, 캔옥수수","1. 밀가루와 베이킹파우더를 섞어 체에 내린다.2. 녹인 버터에 달걀, 소금, 설탕을 넣고 1을 넣어 골고루 섞는다.3. 당근, 양파는 0.5cm 주사위모양으로 썰어 데친다.4. 옥수수, 완두콩을 물에 헹군다.5. 2에 당근, 양파, 옥수수, 완두콩, 우유를 넣고 섞는다.6. 모양 틀에 넣어 김이 오른 찜통에서 10분간 찐다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
영양 달걀찜,"죽순 5g, 밤 5g, 찐 어묵 5g, 건표고버섯 3g, 은행 5g, 새우 5g, 잣 1g, 달걀 20g, 쑥갓 1g, 멸치 육수 50g, 소금적당량","잣, 죽순, 쑥갓, 은행, 달걀, 소금, 새우, 건표고버섯, 멸치육수, 찐어묵, 밤","1. 죽순은 빗살을 살려 썰고 밤은 껍질을 벗겨 4등분한다.2. 찐 어묵은 얇게 썰고 표고버섯은 미지근한 물에 불려 어슷하게 4등분 한다.3. 볼에 달걀 풀고 달걀 부피의 2.5배의 멸치 육수를 넣고 소금으로 간을 한 뒤 거품기로 잘 풀어 체에 내린다.4. 끓는 물에 은행, 죽순, 밤, 새우 순으로 데친다.5. 데쳐 낸 은행은 껍질을 벗기고 새우는 머리와 껍질을 제거한다.6. 찜 용기에 준비한 속 재료들을 담고 준비한 달걀 물을 부어 찜통에서 약 12분간 찐다.",빈혈,육류 돼지고기 쇠고기 양고기 말고기 염소고기 간 계란 노른자 아몬드 잣 호두 호박씨 해바라기씨 땅콩 참깨 굴 미역 꽁치 동태 생선 키위 시금치 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 콩 강낭콩 순무 아스파라거스  고기 꽁치 동태 생선 달걀 콩 두부 두유 치즈 간 굴 정어리 분유 계란 달걀 계란 노른자 귤 과일 채소
유부 달걀찜,"유부 8g, 달걀 30g, 당근 7g, 멸치 육수 50g, 간장 3g, 설탕 2g, 소금적당량","설탕, 유부, 달걀, 소금, 당근, 간장, 멸치육수","1. 유부는 윗면을 잘라 내고 입을 벌려서 주머니를 만든다.2. 1을 끓는 물에 데친 뒤 냉수에 헹군다.3. 달걀을 그릇에 풀고 다진 당근과 소금을 넣고 섞는다.4. 2에 3을 넣어 꼬지로 주름을 잡아 끝부분을 마무리한다.5. 냄비에 멸치 육수와 간장, 설탕, 소금을 넣는다.6. 5에 4를 넣어 10분정도 끓인다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
찰 어묵찜,"찰어묵 50g, 새우살 20g, 전분 5g 양념 마늘다진것 2g, 참기름 1g, 깨소금 1g, 청주 1g, 소금적당량, 후추 적당량","새우살, 참기름, 전분5g양념마늘다진것, 소금, 후추, 깨소금, 찰어묵, 청주",1. 찰어묵을 2cm 두께로 썬 후 가운데 칼집을 넣는다.2. 새우살을 입자있게 다진다.3. 2에 양념재료를 넣고 잘 버무린다4. 찰어묵의 칼집 사이에 전분을 묻힌다.5. 칼집 사이에 3를 끼워 넣는다.6. 김이 오른 찜통에 10분간 찐다.,천식,꽁치 동태 생선 간 녹황색 채소 감귤 귤 잣 호두 해바라기씨 호박씨 소맥배아유 참기름 들기름 곡류 우유 유제품 멸치 말린새우 톳 파래 미역 매생이 미역 다시마 푸른 채소 채소 소맥배아
북어 무국,"북어채 3g, 무 30g, 두부 20g, 대파 6g, 홍고추 1g, 마늘 1g, 참기름 1g, 소금 0.1g","참기름, 두부, 소금, 북어채, 마늘, 대파, 무, 홍고추",1. 열이 오른 냄비에 참기름을 두른다.2. 참기름에 북어채와 무를 볶는다.3. 물을 부어 팔팔 끓인다.4. 먹기 좋은 크기로 자른 두부를 넣는다.5. 소금으로 간을 한다.6. 제공 직전에 송송썬 대파와 홍고추를 올린다.,당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
유부 우엉 잡채,"우엉 20g, 유부 6g, 양파 10g, 당근 10g, 올리브유 5g, 올리고당 6g, 간장 5g, 설탕 0.5g, 참깨 0.5g, 참기름 1g","올리브유, 올리고당, 설탕, 유부, 참기름, 우엉, 당근, 간장, 양파, 참깨",1. 우엉을 깨끗이 씻어 채 썬다.2. 양파와 당근을 채 썬다.3. 간장과 양념들을 넣고 채 썬 우엉을 졸인다.4. 3이 80% 정도 졸았을 대 채 썬 양파와 당근을 넣는다.5. 거의 다 졸여지면 채 썬 유부를 넣는다.6. 참깨를 뿌려 마무리한다.,당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
치즈두부샐러드,"까망베르치즈 8g, 두부 25g, 새싹채소 5g, 아몬드슬라이스 1g, 유자청 6g, 식초 1g, 레몬즙 2g, 올리브유 3g, 저염간장 2g","올리브유, 까망베르치즈, 아몬드슬라이스, 레몬즙, 저염간장, 두부, 식초, 유자청, 새싹채소","1. 유자청을 잘게 다진 뒤 저염간장, 식초, 올리브유, 레몬즙을 섞어 드레싱을 만든다.2. 두부는 2cm 크기로 깍둑썰기 한다.3. 까망베르치즈도 깍둑썰기 한다.4. 새싹채소는 세척 후 건져 물기를 제거한다.5. 그릇에 새싹채소를 담고 두부, 치즈를 얹는다.6. 드레싱과 아몬드를 뿌린다.",아토피성 피부염,채소 과일 브로콜리 케일 채소 귤 사과 배 쌀 보리 현미 녹두 팥 우리밀 콩 검은콩 두부 두유 된장 청국장 명태 조기 갈치 오징어 멸치동태 대구 낙지 문어 굴 해삼 조개 멸치 흰살 꽁치 동태 생선 올리브기름 참기름 들기름 올리브유 강낭콩
된장숙성저수분수육,"앞다리살 돈육(보쌈용) 100g, 양파 40g, 대파 20g,저염된장 4g, 통후추 1g, 월계수잎 1g, 생강가루 2g, 다진마늘 4g","월계수잎, 다진마늘, 생강가루, 저염된장, 앞다리살돈육, 양파, 대파, 통후추","1. 돼지고기 앞다리 살에 칼집을 낸다.2. 돼지고기에 된장, 생강가루, 다진마늘, 통후추, 월계수잎을 입혀 숙성시킨다.3. 파와 대파는 큼지막하게 썰어 준비한다.4. 냄비 혹은 오븐용기의 밑 부분에 양파와 대파를 놓아준다.5. ④에 숙성시킨 돼지고기를 올려 약 50분 정도 가열하여 완전히 익혀준다.6. 0.5cm 두께로 썰어서 제공한다.",고혈압,쑥갓 당근 감잎 감 즙 샐러리 미나리 다시마 양파 완두콩 꽁치 동태 생선
스마일오이피클,"오이 80g, 배 50g, 홍피망 5g, 청피망 5g, 노랑파프리카 5g, 식초 3g, 설탕 6g, 물 100ml, 피클링스파이스 1g","설탕, 물, 오이, 노랑파프리카, 식초, 피클링스파이스, 홍피망, 배, 청피망","1. 오이를 3등분하여 속을 파낸다.2. 피망 및 파프리카는 U모양으로 휘어지게 썰어준다.3. 배를 채 썰어 준다.4. 오이 중앙에 파프리카와 배를 채워 넣는다.5. 물, 식초, 설탕, 피클링 스파이스를 넣어 피클물을 만든다.6. ④에 피클물을 넣고 30분 정도 숙성시킨다.",당뇨병,다시마 미역 김 해파리 채소 쑥 토마토 고추 오이 가지 마늘 양파 도라지 무 당근 우엉 상추 양배추 시금치 브로콜리 부추 버섯 표고버섯 송이버섯 느타리버섯 팽이버섯 목이버섯 복숭아 포도 사과 배 감 귤 매실 잣 호두 아몬드 호박씨 해바라기씨 땅콩 참깨 찹쌀 현미 흑미 콩 수수 보리쌀 우뭇가사리 강낭콩 
참나물 소보로덮밥,"건취나물(10g), 건표고버섯(20g), 불린 쌀(80g), 불린 곤약쌀(60g), 다진 돼지고기(20g), 달걀(1개), 참나물(10g), 간장(7g), 참기름(3g), 소금(1g), 식용유(3㎖)","불린 곤약쌀, 불린 쌀, 참기름, 달걀, 소금, 건취나물, 다진 돼지고기, 참나물, 건표고버섯, 간장, 식용유","1. 건취나물과 건표고버섯은 뜨거운 물(200㎖)에 담가 30분간 불린다.2. 밥솥에 불린 쌀과 곤약쌀, 불린 건취나물, 물(100㎖)을 넣어 취사 버튼을 눌러 밥을 짓는다.3. 불린 표고버섯은 잘게 다져 중간 불로 달군 팬에 넣고 다진 돼지고기, 간장(5g), 참기름(2g)을 넣어 3분간 볶아 꺼낸다.4. 중간 불로 달군 다른 팬에 식용유(3㎖)를 두른 뒤 달걀을 넣어 스크램블드에그를 만든다.5. 끓는 물(300㎖)에 참나물을 넣고 1분간 데쳐 찬물에 헹군 뒤 소금(1g), 간장(2g), 참기름(1g)을 넣어 버무린다.6. 그릇에 취나물 곤약밥을 담은 뒤 볶은 버섯과 고기, 스크램블드에그, 양념한 참나물을 얹는다.",천식,꽁치 동태 생선 간 녹황색 채소 감귤 귤 잣 호두 해바라기씨 호박씨 소맥배아유 참기름 들기름 곡류 우유 유제품 멸치 말린새우 톳 파래 미역 매생이 미역 다시마 푸른 채소 채소 소맥배아
홍시 생밤 무침,"홍시 40g, 바나나 40g, 생밤 10g, 대추 5g, 호두 5g","홍시, 호두, 생밤, 대추, 바나나","1. 홍시는 껍질을 제거하여 으깬다.2. 바나나는 체에 내린다.3. 1과 2를 잘 섞어준다.4. 생밤은 납작납작하게 썬다.5. 대추는 돌려 깎아 씨를 제거하고 채 썬다.6. 3과 4, 5를 잘 무쳐 그릇에 담는다.",뇌졸중,두부 된장 청국장 호두 잣 정어리 다시마 미역 꽁치 동태 생선 조개류 쌀 보리 감자 고구마 메밀 효소 소맥배아  채소 뱀장어 정어리 강낭콩 콩 토마토 당근 귤 오렌지 레몬 김 현미 깨 멸치 두유 우유
